Category,State/UT,Cases Pending Trial from the Previous Year,Cases Sent for Trial during the year,Total Cases for Trial (Col.3+Col.4),Cases Abated by Court,Cases With-drawn From Prosecution,Cases Compoun-ded or Compro-mised,Cases Disposed off by Plea Bargaining,Cases Quashed,Cases Disposed off Without Trial (Col.6+Col.7+Col.8+Col.9+Col.10),Cases Stayed or Sent to Record Room,Cases Convicted Out of Cases from Previous Year,Cases Convicted Out of Cases during the Year,Cases Convicted (Col.13+Col.14),Cases Discharged,Cases Acquitted,Cases in which Trials were Completed (Col.15+Col.16+ Col.17),Cases Disposed off by Courts (Col.11+Col.18),Cases Pending Trial at End of the Year (Col.5 - Col.19),Conviction Rate (Col.15/ Col.18) *100,Pendency Percentage (Col.20/Col.5) *100
State,Andhra Pradesh,705,235,940,1,0,53,0,0,54,0,3,0,3,0,53,56,110,830,5.4,88.3
State,Arunachal Pradesh,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,100
State,Assam,490,349,839,0,0,0,0,0,0,0,8,5,13,0,53,66,66,773,19.7,92.1
State,Bihar,611,288,899,0,0,0,0,0,0,0,2,2,4,0,46,50,50,849,8,94.4
State,Chhattisgarh,245,94,339,0,0,0,0,0,0,0,11,2,13,0,23,36,36,303,36.1,89.4
State,Goa,25,20,45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,44,0,97.8
State,Gujarat,856,447,1303,0,0,0,0,0,0,0,0,0,0,0,8,8,8,1295,0,99.4
State,Haryana,461,188,649,0,0,0,0,0,0,0,6,0,6,0,40,46,46,603,13,92.9
State,Himachal Pradesh,131,20,151,0,0,1,0,0,1,0,2,0,2,0,4,6,7,144,33.3,95.4
State,Jammu & Kashmir,55,18,73,0,0,0,0,0,0,0,0,0,0,0,4,4,4,69,0,94.5
State,Jharkhand,361,344,705,0,0,0,0,0,0,0,12,7,19,0,16,35,35,670,54.3,95
State,Karnataka,706,111,817,0,0,1,0,0,1,0,7,2,9,0,26,35,36,781,25.7,95.6
State,Kerala,737,176,913,1,0,0,0,4,5,0,1,1,2,0,33,35,40,873,5.7,95.6
State,Madhya Pradesh,1308,405,1713,0,0,4,1,0,5,0,18,0,18,4,13,35,40,1673,51.4,97.7
State,Maharashtra,3403,980,4383,3,0,13,0,3,19,0,6,1,7,2,45,54,73,4310,13,98.3
State,Manipur,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,100
State,Meghalaya,32,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,NA,100
State,Mizoram,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,100
State,Nagaland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
State,Odisha,548,220,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,NA,100
State,Punjab,150,90,240,0,0,0,0,1,1,0,5,0,5,3,26,34,35,205,14.7,85.4
State,Rajasthan,882,312,1194,0,0,1,0,0,1,0,20,15,35,14,9,58,59,1135,60.3,95.1
State,Sikkim,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,50
State,Tamil Nadu,314,113,427,0,0,0,0,1,1,0,6,2,8,1,9,18,19,408,44.4,95.6
State,Telangana,581,847,1428,0,0,293,0,1,294,0,2,8,10,0,128,138,432,996,7.2,69.7
State,Tripura,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,100
State,Uttar Pradesh,5174,3705,8879,0,0,2,0,3,5,3,142,59,201,30,46,277,282,8597,72.6,96.8
State,Uttarakhand,143,40,183,0,0,0,0,0,0,0,0,1,1,0,0,1,1,182,100,99.5
State,West Bengal,337,186,523,0,0,0,0,0,0,0,3,0,3,0,8,11,11,512,27.3,97.9
State,TOTAL STATE(S),18279,9199,27478,5,0,368,1,13,387,3,254,105,359,55,591,1005,1392,26086,35.7,94.9
UT,A & N Islands,15,0,15,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14,0,93.3
UT,Chandigarh,39,9,48,0,0,0,0,0,0,0,5,0,5,0,7,12,12,36,41.7,75
UT,D & N Haveli,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,100
UT,Daman & Diu,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,100
UT,Delhi,212,58,270,0,0,0,0,1,1,0,2,0,2,1,11,14,15,255,14.3,94.4
UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
UT,Puducherry,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,100
UT,TOTAL UT(S),278,70,348,0,0,0,0,1,1,0,7,0,7,2,18,27,28,320,25.9,92
Grand Total,TOTAL ALL INDIA,18557,9269,27826,5,0,368,1,14,388,3,261,105,366,57,609,1032,1420,26406,35.5,94.9
